2021-11-21 17:18:33+00:00,"b'Salah satu alasan aku netral soal #OleStay atau #OleOut ada di utas ini. Karena aku sadar, bukan sepenuhnya salah O\xe2\x80\xa6 https://t.co/1rbLpFCIBI'"
2021-11-21 17:14:32+00:00,b'Bahagianya mereka yang dari kemarin teriak teriak #OLEOUT https://t.co/xwNvcIcAhU'
2021-11-21 17:05:28+00:00,"b'RT @SCBarai: Sempena Ole out, upkanlah kenangan ole anda. Bagi la kawan-kawan anda yang pura-pura gembira sebab #OleOut padahal pedih kena\xe2\x80\xa6'"
2021-11-21 17:03:23+00:00,"b'Kemaren bikin tagar #OleOUT, sekarang bikin trending Thanks Ole. \nMaunya apa sih'"
2021-11-21 17:03:10+00:00,b'@bertanyarl Daftar Akun Sabung Ayam Online!! Dapatkan Bonus New Member 10% Langsung!\n\nWA       : +62 812 9739 2623\xe2\x80\xa6 https://t.co/PYlfN7QIkE'
2021-11-21 17:02:09+00:00,b'RT @fanslayarkaca__: fans emyu yang pengen #OleOut saat ini sedang mengadakan syukuran setelah ole resmi dipecat: https://t.co/4JtzEvcJvZ'
2021-11-21 17:01:22+00:00,b'Daftar Akun Sabung Ayam Online!! Dapatkan Bonus New Member 10% Langsung!\n\nWA       : +62 812 9739 2623\nLine     :\xe2\x80\xa6 https://t.co/7TCuh9MGLO'
2021-11-21 16:57:51+00:00,"b'Saya salah satu orang yang tidak pernah berteriak #OleOut, rasanya nyaman lihat klub dipegang legenda. Tapi ya, bag\xe2\x80\xa6 https://t.co/NrWSMert3g'"
2021-11-21 16:42:13+00:00,b'Daftar Akun Sabung Ayam Online!! Dapatkan Bonus New Member 10% Langsung!\n\nWA       : +62 812 9739 2623\nLine     :\xe2\x80\xa6 https://t.co/wdp68SKgYx'
2021-11-21 16:38:27+00:00,b'Daftar Akun Sabung Ayam Online!! Dapatkan Bonus New Member 10% Langsung!\n\nWA       : +62 812 9739 2623\nLine     :\xe2\x80\xa6 https://t.co/DoQIPZK330'
2021-11-21 16:37:18+00:00,b'sedang merindukan hastag #OleOut'
2021-11-21 16:35:38+00:00,"b'RT @Bravejonathano2: #OleOut ,Hmm kati mungobye mbu nkole ki \xf0\x9f\x98\x82 https://t.co/yX5rko8dAV'"
2021-11-21 16:35:22+00:00,"b'Kepengen #OleOut sejak lama, begitu beneran dia keluar, jadi mellow gini perasaan gw. Mana #ThankYouOle\nlgsg trending\n\n#ThanksOle #20LEGEND'"
2021-11-21 16:29:24+00:00,"b'RT @iIhamzada: Siapapun pelatihnya, kalo gaya manajemen Emyu masih sama aja, ya hanya menunggu waktu chaos. #MoyesOut #VanGaalOut #MouOut #\xe2\x80\xa6'"
2021-11-21 16:27:22+00:00,"b'#MusiliuIsholaHaruna ""Opon Apala Ti Sun, Soyoyo &amp; Ise Oluwa Ko Seni Toy... https://t.co/jrYMsoLXwj via @YouTube \n.\xe2\x80\xa6 https://t.co/MIbBCGOiz2'"
2021-11-21 16:26:22+00:00,b'Arsenal Kena Begal Lagi Dong..\xf0\x9f\xa4\xaa #liverpool #arsenal #oleout #barcelona #xavi https://t.co/jLtgPjtJ5x'
2021-11-21 16:24:40+00:00,b'Akhirnya tagar #OleOut kesampaian juga yaah'
2021-11-21 16:24:02+00:00,"b'Perasaan sedih seneng campur aduk, thx coach ole \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f no #oleout anymore'"
2021-11-21 16:22:28+00:00,"b'Pelatih-pelatih Top Dunia adalah ex gelandang di klub papan atas pada umumnya. Pep, Ancelotti, Deschamps, Zidane, C\xe2\x80\xa6 https://t.co/KpLc3qHGie'"
2021-11-21 16:21:51+00:00,"b'@horfuncumi Parah emang dam, mereka ampe ribut gara gara mikirin #OleOut atau #OleStay \xf0\x9f\xa5\xb2 https://t.co/9LZqiRVjPi'"
2021-11-21 16:20:36+00:00,b'RT @fanslayarkaca__: fans emyu yang pengen #OleOut saat ini sedang mengadakan syukuran setelah ole resmi dipecat: https://t.co/4JtzEvcJvZ'
2021-11-21 16:17:35+00:00,"b'@tattyy10 Unanichanganya sasa \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3, wewe ndio ulianzisha #OleOut  ujue.'"
2021-11-21 16:16:01+00:00,b'@Sagapungbekasi demo kantor MU #oleout'
2021-11-21 16:14:58+00:00,b'#OleOut byeeeee oleee yaudahlahya'
2021-11-21 16:12:46+00:00,"b'RT @TheAmateursID: Cukup dengan #OleOut karena memang sudah dipecat, kini @faizrmd membicarakan pemain yang sering dipinggirkan namun membe\xe2\x80\xa6'"
2021-11-21 16:06:11+00:00,b'Dadah #OleOut'
2021-11-21 16:01:02+00:00,"b'setelah #oleout semoga dapat manager pengganti yang bisa memberi gelar (EPL/UCL/FA), maksimal dalam tiga tahun kede\xe2\x80\xa6 https://t.co/QvFwa7RSrU'"
2021-11-21 16:00:00+00:00,"b'#IndianArmy CELEBRATED GURUPURAB AT DARABA, #poonch #JK\n#IndianArmyPeoplesArmy \n#happygurupurab #GuruNanak #MUFC\xe2\x80\xa6 https://t.co/LjnpGUvRUW'"
2021-11-21 15:55:20+00:00,"b'Ole said : ""Kulo mpun angkat tangan MU pun ajur ajurann\xf0\x9f\x99\x8c""\n\n#OleOut'"
2021-11-21 15:51:55+00:00,b'@MohamadAryadi @Kangnemi Kan team #OleOUT nongol \xf0\x9f\xa4\xa3'
2021-11-21 15:50:48+00:00,"b'RT @iIhamzada: Siapapun pelatihnya, kalo gaya manajemen Emyu masih sama aja, ya hanya menunggu waktu chaos. #MoyesOut #VanGaalOut #MouOut #\xe2\x80\xa6'"
2021-11-21 15:50:20+00:00,"b'RT @iIhamzada: Siapapun pelatihnya, kalo gaya manajemen Emyu masih sama aja, ya hanya menunggu waktu chaos. #MoyesOut #VanGaalOut #MouOut #\xe2\x80\xa6'"
2021-11-21 15:50:05+00:00,"b'Resmi memecat Ole dari kursi kepelatihan, Manajemen MU tunjuk Michael Carrick sebagai pelatih pengganti sementara.\xe2\x80\xa6 https://t.co/lcLqYeRYiq'"
2021-11-21 15:49:33+00:00,"b'RT @SavageFootballl: Kesalahan pada aspek dasar, membuat MU harus kembali menelan kekalahan &amp; kali ini dari Watford. Tentu situasi ini kemb\xe2\x80\xa6'"
